Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 0.22
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 1/1000 | Energy: 1.9493e-11
Writing Frame 2/1000 | Energy: 1.5262e-11
Writing Frame 3/1000 | Energy: 1.4649e-11
Writing Frame 4/1000 | Energy: 1.4822e-11
Writing Frame 5/1000 | Energy: 1.5602e-11
Writing Frame 6/1000 | Energy: 1.7225e-11
Writing Frame 7/1000 | Energy: 1.9933e-11
Writing Frame 8/1000 | Energy: 2.3931e-11
Writing Frame 9/1000 | Energy: 2.9437e-11
Writing Frame 10/1000 | Energy: 3.6737e-11
Writing Frame 11/1000 | Energy: 4.6233e-11
Writing Frame 12/1000 | Energy: 5.8488e-11
Writing Frame 13/1000 | Energy: 7.4271e-11
Writing Frame 14/1000 | Energy: 9.4610e-11
Writing Frame 15/1000 | Energy: 1.2086e-10
Writing Frame 16/1000 | Energy: 1.5480e-10
Writing Frame 17/1000 | Energy: 1.9876e-10
Writing Frame 18/1000 | Energy: 2.5578e-10
Writing Frame 19/1000 | Energy: 3.2984e-10
Writing Frame 20/1000 | Energy: 4.2617e-10
Writing Frame 21/1000 | Energy: 5.5159e-10
Writing Frame 22/1000 | Energy: 7.1507e-10
Writing Frame 23/1000 | Energy: 9.2839e-10
Writing Frame 24/1000 | Energy: 1.2070e-09
Writing Frame 25/1000 | Energy: 1.5713e-09
Writing Frame 26/1000 | Energy: 2.0480e-09
Writing Frame 27/1000 | Energy: 2.6723e-09
Writing Frame 28/1000 | Energy: 3.4905e-09
Writing Frame 29/1000 | Energy: 4.5638e-09
Writing Frame 30/1000 | Energy: 5.9727e-09
Writing Frame 31/1000 | Energy: 7.8233e-09
Writing Frame 32/1000 | Energy: 1.0256e-08
Writing Frame 33/1000 | Energy: 1.3455e-08
Writing Frame 34/1000 | Energy: 1.7666e-08
Writing Frame 35/1000 | Energy: 2.3211e-08
Writing Frame 36/1000 | Energy: 3.0516e-08
Writing Frame 37/1000 | Energy: 4.0147e-08
Writing Frame 38/1000 | Energy: 5.2849e-08
Writing Frame 39/1000 | Energy: 6.9611e-08
Writing Frame 40/1000 | Energy: 9.1739e-08
Writing Frame 41/1000 | Energy: 1.2097e-07
Writing Frame 42/1000 | Energy: 1.5959e-07
Writing Frame 43/1000 | Energy: 2.1064e-07
Writing Frame 44/1000 | Energy: 2.7815e-07
Writing Frame 45/1000 | Energy: 3.6746e-07
Writing Frame 46/1000 | Energy: 4.8566e-07
Writing Frame 47/1000 | Energy: 6.4213e-07
Writing Frame 48/1000 | Energy: 8.4935e-07
Writing Frame 49/1000 | Energy: 1.1239e-06
Writing Frame 50/1000 | Energy: 1.4877e-06
Writing Frame 51/1000 | Energy: 1.9699e-06
Writing Frame 52/1000 | Energy: 2.6094e-06
Writing Frame 53/1000 | Energy: 3.4577e-06
Writing Frame 54/1000 | Energy: 4.5832e-06
Writing Frame 55/1000 | Energy: 6.0770e-06
Writing Frame 56/1000 | Energy: 8.0601e-06
Writing Frame 57/1000 | Energy: 1.0693e-05
Writing Frame 58/1000 | Energy: 1.4191e-05
Writing Frame 59/1000 | Energy: 1.8837e-05
Writing Frame 60/1000 | Energy: 2.5010e-05
Writing Frame 61/1000 | Energy: 3.3213e-05
Writing Frame 62/1000 | Energy: 4.4116e-05
Writing Frame 63/1000 | Energy: 5.8611e-05
Writing Frame 64/1000 | Energy: 7.7884e-05
Writing Frame 65/1000 | Energy: 1.0352e-04
Writing Frame 66/1000 | Energy: 1.3762e-04
Writing Frame 67/1000 | Energy: 1.8299e-04
Writing Frame 68/1000 | Energy: 2.4337e-04
Writing Frame 69/1000 | Energy: 3.2375e-04
Writing Frame 70/1000 | Energy: 4.3077e-04
Writing Frame 71/1000 | Energy: 5.7326e-04
Writing Frame 72/1000 | Energy: 7.6298e-04
Writing Frame 73/1000 | Energy: 1.0156e-03
Writing Frame 74/1000 | Energy: 1.3518e-03
Writing Frame 75/1000 | Energy: 1.7991e-03
Writing Frame 76/1000 | Energy: 2.3942e-03
Writing Frame 77/1000 | Energy: 3.1852e-03
Writing Frame 78/1000 | Energy: 4.2363e-03
Writing Frame 79/1000 | Energy: 5.6319e-03
Writing Frame 80/1000 | Energy: 7.4836e-03
Writing Frame 81/1000 | Energy: 9.9384e-03
Writing Frame 82/1000 | Energy: 1.3189e-02
Writing Frame 83/1000 | Energy: 1.7488e-02
Writing Frame 84/1000 | Energy: 2.3165e-02
Writing Frame 85/1000 | Energy: 3.0645e-02
Writing Frame 86/1000 | Energy: 4.0484e-02
Writing Frame 87/1000 | Energy: 5.3395e-02
Writing Frame 88/1000 | Energy: 7.0309e-02
Writing Frame 89/1000 | Energy: 9.2423e-02
Writing Frame 90/1000 | Energy: 1.2127e-01
Writing Frame 91/1000 | Energy: 1.5877e-01
Writing Frame 92/1000 | Energy: 2.0725e-01
Writing Frame 93/1000 | Energy: 2.6942e-01
Writing Frame 94/1000 | Energy: 3.4827e-01
Writing Frame 95/1000 | Energy: 4.4686e-01
Writing Frame 96/1000 | Energy: 5.6818e-01
Writing Frame 97/1000 | Energy: 7.1506e-01
Writing Frame 98/1000 | Energy: 8.9020e-01
Writing Frame 99/1000 | Energy: 1.0952e+00
Writing Frame 100/1000 | Energy: 1.3314e+00
Writing Frame 101/1000 | Energy: 1.6015e+00
Writing Frame 102/1000 | Energy: 1.9062e+00
Writing Frame 103/1000 | Energy: 2.2423e+00
Writing Frame 104/1000 | Energy: 2.6024e+00
Writing Frame 105/1000 | Energy: 2.9834e+00
Writing Frame 106/1000 | Energy: 3.3922e+00
Writing Frame 107/1000 | Energy: 3.8429e+00
Writing Frame 108/1000 | Energy: 4.3468e+00
Writing Frame 109/1000 | Energy: 4.9061e+00
Writing Frame 110/1000 | Energy: 5.5127e+00
Writing Frame 111/1000 | Energy: 6.1509e+00
Writing Frame 112/1000 | Energy: 6.8043e+00
Writing Frame 113/1000 | Energy: 7.4638e+00
Writing Frame 114/1000 | Energy: 8.1269e+00
Writing Frame 115/1000 | Energy: 8.7952e+00
Writing Frame 116/1000 | Energy: 9.4759e+00
Writing Frame 117/1000 | Energy: 1.0175e+01
Writing Frame 118/1000 | Energy: 1.0892e+01
Writing Frame 119/1000 | Energy: 1.1630e+01
Writing Frame 120/1000 | Energy: 1.2388e+01
Writing Frame 121/1000 | Energy: 1.3160e+01
Writing Frame 122/1000 | Energy: 1.3937e+01
Writing Frame 123/1000 | Energy: 1.4702e+01
Writing Frame 124/1000 | Energy: 1.5440e+01
Writing Frame 125/1000 | Energy: 1.6152e+01
Writing Frame 126/1000 | Energy: 1.6846e+01
Writing Frame 127/1000 | Energy: 1.7527e+01
Writing Frame 128/1000 | Energy: 1.8199e+01
Writing Frame 129/1000 | Energy: 1.8866e+01
Writing Frame 130/1000 | Energy: 1.9527e+01
Writing Frame 131/1000 | Energy: 2.0173e+01
Writing Frame 132/1000 | Energy: 2.0791e+01
Writing Frame 133/1000 | Energy: 2.1378e+01
Writing Frame 134/1000 | Energy: 2.1938e+01
Writing Frame 135/1000 | Energy: 2.2485e+01
Writing Frame 136/1000 | Energy: 2.3021e+01
Writing Frame 137/1000 | Energy: 2.3551e+01
Writing Frame 138/1000 | Energy: 2.4080e+01
Writing Frame 139/1000 | Energy: 2.4607e+01
Writing Frame 140/1000 | Energy: 2.5130e+01
Writing Frame 141/1000 | Energy: 2.5650e+01
Writing Frame 142/1000 | Energy: 2.6173e+01
Writing Frame 143/1000 | Energy: 2.6700e+01
Writing Frame 144/1000 | Energy: 2.7222e+01
Writing Frame 145/1000 | Energy: 2.7732e+01
Writing Frame 146/1000 | Energy: 2.8229e+01
Writing Frame 147/1000 | Energy: 2.8721e+01
Writing Frame 148/1000 | Energy: 2.9213e+01
Writing Frame 149/1000 | Energy: 2.9710e+01
Writing Frame 150/1000 | Energy: 3.0205e+01
Writing Frame 151/1000 | Energy: 3.0689e+01
Writing Frame 152/1000 | Energy: 3.1157e+01
Writing Frame 153/1000 | Energy: 3.1609e+01
Writing Frame 154/1000 | Energy: 3.2043e+01
Writing Frame 155/1000 | Energy: 3.2464e+01
Writing Frame 156/1000 | Energy: 3.2888e+01
Writing Frame 157/1000 | Energy: 3.3317e+01
Writing Frame 158/1000 | Energy: 3.3746e+01
Writing Frame 159/1000 | Energy: 3.4169e+01
Writing Frame 160/1000 | Energy: 3.4582e+01
Writing Frame 161/1000 | Energy: 3.4988e+01
Writing Frame 162/1000 | Energy: 3.5394e+01
Writing Frame 163/1000 | Energy: 3.5804e+01
Writing Frame 164/1000 | Energy: 3.6222e+01
Writing Frame 165/1000 | Energy: 3.6650e+01
Writing Frame 166/1000 | Energy: 3.7088e+01
