Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 1.0
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 1/1000 | Energy: 3.3401e-12
Writing Frame 2/1000 | Energy: 1.2940e-12
Writing Frame 3/1000 | Energy: 1.0808e-12
Writing Frame 4/1000 | Energy: 1.0713e-12
Writing Frame 5/1000 | Energy: 1.1100e-12
Writing Frame 6/1000 | Energy: 1.1692e-12
Writing Frame 7/1000 | Energy: 1.2447e-12
Writing Frame 8/1000 | Energy: 1.3376e-12
Writing Frame 9/1000 | Energy: 1.4500e-12
Writing Frame 10/1000 | Energy: 1.5851e-12
Writing Frame 11/1000 | Energy: 1.7466e-12
Writing Frame 12/1000 | Energy: 1.9392e-12
Writing Frame 13/1000 | Energy: 2.1684e-12
Writing Frame 14/1000 | Energy: 2.4410e-12
Writing Frame 15/1000 | Energy: 2.7653e-12
Writing Frame 16/1000 | Energy: 3.1510e-12
Writing Frame 17/1000 | Energy: 3.6098e-12
Writing Frame 18/1000 | Energy: 4.1561e-12
Writing Frame 19/1000 | Energy: 4.8068e-12
Writing Frame 20/1000 | Energy: 5.5824e-12
Writing Frame 21/1000 | Energy: 6.5076e-12
Writing Frame 22/1000 | Energy: 7.6121e-12
Writing Frame 23/1000 | Energy: 8.9315e-12
Writing Frame 24/1000 | Energy: 1.0509e-11
Writing Frame 25/1000 | Energy: 1.2396e-11
Writing Frame 26/1000 | Energy: 1.4655e-11
Writing Frame 27/1000 | Energy: 1.7362e-11
Writing Frame 28/1000 | Energy: 2.0606e-11
Writing Frame 29/1000 | Energy: 2.4499e-11
Writing Frame 30/1000 | Energy: 2.9171e-11
Writing Frame 31/1000 | Energy: 3.4782e-11
Writing Frame 32/1000 | Energy: 4.1525e-11
Writing Frame 33/1000 | Energy: 4.9632e-11
Writing Frame 34/1000 | Energy: 5.9384e-11
Writing Frame 35/1000 | Energy: 7.1122e-11
Writing Frame 36/1000 | Energy: 8.5255e-11
Writing Frame 37/1000 | Energy: 1.0228e-10
Writing Frame 38/1000 | Energy: 1.2280e-10
Writing Frame 39/1000 | Energy: 1.4754e-10
Writing Frame 40/1000 | Energy: 1.7738e-10
Writing Frame 41/1000 | Energy: 2.1339e-10
Writing Frame 42/1000 | Energy: 2.5685e-10
Writing Frame 43/1000 | Energy: 3.0932e-10
Writing Frame 44/1000 | Energy: 3.7271e-10
Writing Frame 45/1000 | Energy: 4.4929e-10
Writing Frame 46/1000 | Energy: 5.4185e-10
Writing Frame 47/1000 | Energy: 6.5376e-10
Writing Frame 48/1000 | Energy: 7.8909e-10
Writing Frame 49/1000 | Energy: 9.5279e-10
Writing Frame 50/1000 | Energy: 1.1509e-09
Writing Frame 51/1000 | Energy: 1.3906e-09
Writing Frame 52/1000 | Energy: 1.6808e-09
Writing Frame 53/1000 | Energy: 2.0322e-09
Writing Frame 54/1000 | Energy: 2.4578e-09
Writing Frame 55/1000 | Energy: 2.9734e-09
Writing Frame 56/1000 | Energy: 3.5980e-09
Writing Frame 57/1000 | Energy: 4.3551e-09
Writing Frame 58/1000 | Energy: 5.2728e-09
Writing Frame 59/1000 | Energy: 6.3853e-09
Writing Frame 60/1000 | Energy: 7.7344e-09
Writing Frame 61/1000 | Energy: 9.3705e-09
Writing Frame 62/1000 | Energy: 1.1355e-08
Writing Frame 63/1000 | Energy: 1.3763e-08
Writing Frame 64/1000 | Energy: 1.6685e-08
Writing Frame 65/1000 | Energy: 2.0231e-08
Writing Frame 66/1000 | Energy: 2.4535e-08
Writing Frame 67/1000 | Energy: 2.9761e-08
Writing Frame 68/1000 | Energy: 3.6106e-08
Writing Frame 69/1000 | Energy: 4.3810e-08
Writing Frame 70/1000 | Energy: 5.3167e-08
Writing Frame 71/1000 | Energy: 6.4534e-08
Writing Frame 72/1000 | Energy: 7.8342e-08
Writing Frame 73/1000 | Energy: 9.5119e-08
Writing Frame 74/1000 | Energy: 1.1551e-07
Writing Frame 75/1000 | Energy: 1.4028e-07
Writing Frame 76/1000 | Energy: 1.7040e-07
Writing Frame 77/1000 | Energy: 2.0700e-07
Writing Frame 78/1000 | Energy: 2.5151e-07
Writing Frame 79/1000 | Energy: 3.0562e-07
Writing Frame 80/1000 | Energy: 3.7142e-07
Writing Frame 81/1000 | Energy: 4.5144e-07
Writing Frame 82/1000 | Energy: 5.4877e-07
Writing Frame 83/1000 | Energy: 6.6715e-07
Writing Frame 84/1000 | Energy: 8.1117e-07
Writing Frame 85/1000 | Energy: 9.8639e-07
Writing Frame 86/1000 | Energy: 1.1996e-06
Writing Frame 87/1000 | Energy: 1.4590e-06
Writing Frame 88/1000 | Energy: 1.7747e-06
Writing Frame 89/1000 | Energy: 2.1590e-06
Writing Frame 90/1000 | Energy: 2.6267e-06
Writing Frame 91/1000 | Energy: 3.1961e-06
Writing Frame 92/1000 | Energy: 3.8892e-06
Writing Frame 93/1000 | Energy: 4.7331e-06
Writing Frame 94/1000 | Energy: 5.7605e-06
Writing Frame 95/1000 | Energy: 7.0117e-06
Writing Frame 96/1000 | Energy: 8.5354e-06
Writing Frame 97/1000 | Energy: 1.0391e-05
Writing Frame 98/1000 | Energy: 1.2651e-05
Writing Frame 99/1000 | Energy: 1.5404e-05
Writing Frame 100/1000 | Energy: 1.8758e-05
Writing Frame 101/1000 | Energy: 2.2844e-05
Writing Frame 102/1000 | Energy: 2.7821e-05
Writing Frame 103/1000 | Energy: 3.3886e-05
Writing Frame 104/1000 | Energy: 4.1275e-05
Writing Frame 105/1000 | Energy: 5.0280e-05
Writing Frame 106/1000 | Energy: 6.1252e-05
Writing Frame 107/1000 | Energy: 7.4624e-05
Writing Frame 108/1000 | Energy: 9.0920e-05
Writing Frame 109/1000 | Energy: 1.1078e-04
Writing Frame 110/1000 | Energy: 1.3499e-04
Writing Frame 111/1000 | Energy: 1.6449e-04
Writing Frame 112/1000 | Energy: 2.0046e-04
Writing Frame 113/1000 | Energy: 2.4429e-04
Writing Frame 114/1000 | Energy: 2.9771e-04
Writing Frame 115/1000 | Energy: 3.6283e-04
Writing Frame 116/1000 | Energy: 4.4219e-04
Writing Frame 117/1000 | Energy: 5.3890e-04
Writing Frame 118/1000 | Energy: 6.5676e-04
Writing Frame 119/1000 | Energy: 8.0035e-04
Writing Frame 120/1000 | Energy: 9.7528e-04
Writing Frame 121/1000 | Energy: 1.1883e-03
Writing Frame 122/1000 | Energy: 1.4478e-03
Writing Frame 123/1000 | Energy: 1.7637e-03
Writing Frame 124/1000 | Energy: 2.1481e-03
Writing Frame 125/1000 | Energy: 2.6157e-03
Writing Frame 126/1000 | Energy: 3.1842e-03
Writing Frame 127/1000 | Energy: 3.8752e-03
Writing Frame 128/1000 | Energy: 4.7144e-03
Writing Frame 129/1000 | Energy: 5.7333e-03
Writing Frame 130/1000 | Energy: 6.9694e-03
Writing Frame 131/1000 | Energy: 8.4683e-03
Writing Frame 132/1000 | Energy: 1.0285e-02
Writing Frame 133/1000 | Energy: 1.2483e-02
Writing Frame 134/1000 | Energy: 1.5143e-02
Writing Frame 135/1000 | Energy: 1.8356e-02
Writing Frame 136/1000 | Energy: 2.2232e-02
Writing Frame 137/1000 | Energy: 2.6901e-02
Writing Frame 138/1000 | Energy: 3.2516e-02
Writing Frame 139/1000 | Energy: 3.9255e-02
Writing Frame 140/1000 | Energy: 4.7326e-02
Writing Frame 141/1000 | Energy: 5.6958e-02
Writing Frame 142/1000 | Energy: 6.8405e-02
Writing Frame 143/1000 | Energy: 8.1932e-02
Writing Frame 144/1000 | Energy: 9.7814e-02
Writing Frame 145/1000 | Energy: 1.1634e-01
Writing Frame 146/1000 | Energy: 1.3781e-01
Writing Frame 147/1000 | Energy: 1.6256e-01
Writing Frame 148/1000 | Energy: 1.9094e-01
Writing Frame 149/1000 | Energy: 2.2333e-01
