alpha,ad_steps,objective_raw,grad_alpha_raw,grad_kappa_raw,objective_per_step,grad_alpha_per_step,grad_kappa_per_step,runtime_seconds,backend,resolution,dt,kappa,solver,status,source_log
0.2,500,2.3669e-08,-6.17145927e-08,4.7390304e-08,4.7338e-11,-1.234291854e-10,9.4780608e-11,1.7221,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a02_s500-54333963.out
0.2,1000,5.6304e-08,-2.20947845e-07,1.1390178e-07,5.6304e-11,-2.20947845e-10,1.1390178000000001e-10,1.6996,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a02_s1000-54333964.out
0.2,2000,1.1313e-07,-6.00348097e-07,2.51785096e-07,5.6564999999999994e-11,-3.001740485e-10,1.2589254800000001e-10,1.9648,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a02_s2000-54333965.out
0.2,5000,5.311e-07,-2.62821396e-06,2.13070056e-06,1.0622e-10,-5.25642792e-10,4.26140112e-10,1.9,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a02_s5000-54333967.out
0.2,10000,1.1932e-05,-4.84927054e-05,9.0260446e-05,1.1932e-09,-4.84927054e-09,9.0260446e-09,2.985,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a02_s10000-54333968.out
0.8,500,7.8346e-09,-1.13005222e-08,1.57733815e-08,1.56692e-11,-2.26010444e-11,3.1546762999999996e-11,1.7034,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a08_s500-54334192.out
0.8,1000,1.1433e-08,-2.19520894e-08,2.42096432e-08,1.1433000000000001e-11,-2.19520894e-11,2.4209643199999997e-11,1.8069,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a08_s1000-54334194.out
0.8,2000,1.6102e-08,-3.54542179e-08,4.20322151e-08,8.051000000000001e-12,-1.772710895e-11,2.1016107550000002e-11,2.1683,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a08_s2000-54334196.out
0.8,5000,4.8854e-08,-1.50654089e-07,2.30065663e-07,9.7708e-12,-3.01308178e-11,4.6013132600000003e-11,2.0481,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a08_s5000-54334198.out
0.8,10000,4.6721e-07,-2.25398662e-06,4.21285696e-06,4.6721000000000003e-11,-2.25398662e-10,4.2128569599999995e-10,2.3902,cpu:0,64,0.0025,1.0,rk4,completed,results/raw_logs/direct_ad/ad_a08_s10000-54334200.out
