array_index,alpha,seed,seed_mapping_status,ad_steps,objective_raw,grad_alpha_raw,grad_kappa_raw,objective_per_step,grad_alpha_per_step,grad_kappa_per_step,runtime_seconds,status,source_log
0,0.2,,not recoverable from available artifacts,10000,1.1932e-05,-4.84927054e-05,9.0260446e-05,1.1932e-09,-4.84927054e-09,9.0260446e-09,2.493,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_0.out
1,0.2,,not recoverable from available artifacts,10000,1.0436e-05,-4.64087748e-05,7.81310174e-05,1.0436e-09,-4.640877479999999e-09,7.813101739999999e-09,2.7378,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_1.out
2,0.2,,not recoverable from available artifacts,10000,1.0066e-05,-4.06778171e-05,7.54883609e-05,1.0066e-09,-4.067781709999999e-09,7.54883609e-09,2.1695,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_2.out
3,0.2,,not recoverable from available artifacts,10000,1.0262e-05,-4.45566299e-05,7.66826048e-05,1.0262e-09,-4.45566299e-09,7.668260479999999e-09,2.6554,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_3.out
4,0.2,,not recoverable from available artifacts,10000,1.1373e-05,-5.12804188e-05,8.54621548e-05,1.1373e-09,-5.12804188e-09,8.54621548e-09,3.2587,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_4.out
5,0.2,,not recoverable from available artifacts,10000,1.0683e-05,-4.84729205e-05,8.08570855e-05,1.0683e-09,-4.84729205e-09,8.08570855e-09,2.2307,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_5.out
6,0.2,,not recoverable from available artifacts,10000,1.0386e-05,-4.9742069e-05,7.81444416e-05,1.0386000000000001e-09,-4.9742069e-09,7.814444160000001e-09,2.2509,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_6.out
7,0.2,,not recoverable from available artifacts,10000,1.2529e-05,-5.3495041e-05,9.55040668e-05,1.2528999999999999e-09,-5.3495041e-09,9.55040668e-09,2.6551,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_7.out
8,0.2,,not recoverable from available artifacts,10000,1.187e-05,-5.03748178e-05,8.92917474e-05,1.187e-09,-5.03748178e-09,8.92917474e-09,2.3519,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_8.out
9,0.2,,not recoverable from available artifacts,10000,1.0576e-05,-4.75555455e-05,7.92787659e-05,1.0576e-09,-4.75555455e-09,7.92787659e-09,2.6215,completed,results/raw_logs/ensemble_ad/ens_ad-54341982_9.out
