category,alpha,resolution,dt,solver,steps_or_final_time,status,output,source_log,notes
finite_difference_production,0.18,256,0.0025,rk4,400000 steps; T=1000,completed,runs/mhw_256_T1000_a018.h5,results/raw_logs/finite_difference/mhw_a018-54261699.out,HDF5 output is not available in this local archive
finite_difference_production,0.22,256,0.0025,rk4,400000 steps; T=1000,completed,runs/mhw_256_T1000_a022.h5,results/raw_logs/finite_difference/mhw_a022-54261701.out,HDF5 output is not available in this local archive
finite_difference_production,0.78,256,0.0025,rk4,400000 steps; T=1000,completed,runs/mhw_256_T1000_a078.h5,results/raw_logs/finite_difference/mhw_a078-54261704.out,HDF5 output is not available in this local archive
finite_difference_production,0.82,256,0.0025,rk4,400000 steps; T=1000,completed,runs/mhw_256_T1000_a082.h5,results/raw_logs/finite_difference/mhw_a082-54261705.out,HDF5 output is not available in this local archive
finite_difference_production,1.0,256,0.0025,rk4,400000 steps; T=1000,completed,runs/mhw_256_T1000_a1.h50,results/raw_logs/finite_difference/mhw_a1_T1000-54225942.out,HDF5 output is not available in this local archive
historical_direct_ad_sweep,0.2,64,0.0025,rk4,1000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a02_s1000-54333964.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.2,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a02_s10000-54333968.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.2,64,0.0025,rk4,2000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a02_s2000-54333965.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.2,64,0.0025,rk4,500 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a02_s500-54333963.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.2,64,0.0025,rk4,5000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a02_s5000-54333967.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.8,64,0.0025,rk4,1000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a08_s1000-54334194.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.8,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a08_s10000-54334200.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.8,64,0.0025,rk4,2000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a08_s2000-54334196.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.8,64,0.0025,rk4,500 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a08_s500-54334192.out,historical accumulated objective; no detached saturated spin-up
historical_direct_ad_sweep,0.8,64,0.0025,rk4,5000 AD steps,completed,log only,results/raw_logs/direct_ad/ad_a08_s5000-54334198.out,historical accumulated objective; no detached saturated spin-up
ensemble_ad,0.2,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/ensemble_ad/ens_ad-54341982_0.out,array index 0; seed mapping not recoverable from available artifacts
ensemble_ad,0.2,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/ensemble_ad/ens_ad-54341982_1.out,array index 1; seed mapping not recoverable from available artifacts
ensemble_ad,0.2,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/ensemble_ad/ens_ad-54341982_10.out,array index 10; seed mapping not recoverable from available artifacts
ensemble_ad,0.2,64,0.0025,rk4,10000 AD steps,completed,log only,results/raw_logs/ensemble_ad/ens_ad-54341982_11.out,array index 11; seed mapping not recoverable from available artifacts
